"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2911","Edit course","tests.courses","2026-08-12","passed","2026-08-12","TestCourses","test_courses","",""
"","3092","User login with correct email and password","Authorization","2026-08-12","passed","2026-08-12","Authentication","LMS system","",""
"","1216","User login with wrong email or password","Authorization","2026-08-12","passed","2026-08-12","Authentication","LMS system","",""
"","2266","Create course","tests.courses","2026-08-12","passed","2026-08-12","TestCourses","test_courses","",""
"","1705","User login with wrong email or password","Authorization","2026-08-12","passed","2026-08-12","Authentication","LMS system","",""
"","1255","Navigate from login page to registration page","Authorization","2026-08-12","passed","2026-08-12","Authentication","LMS system","",""
"","1669","User login with wrong email or password","Authorization","2026-08-12","passed","2026-08-12","Authentication","LMS system","",""
"","1292","Check displaying of empty courses list","tests.courses","2026-08-12","passed","2026-08-12","TestCourses","test_courses","",""
"","1615","Registration with correct email, username and password","tests.authentication","2026-08-12","passed","2026-08-12","TestRegistration","test_registration","",""
"","2412","Check displaying of dashboard page","tests.dashboard","2026-08-12","passed","2026-08-12","TestDashboard","test_dashboard","",""
